bnumber,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.41_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.25_P,GLC+AA_CHEM_mu=0.35_P,GLC+AA_CHEM_mu=0.45_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.82_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.78_P
b0002,2678.8649707078,3488.8810754078,4547.327733345,5470.0723681743,2699.9860296967,3132.1105721902,4021.7057474852,5126.8949789738,5651.2138851407,1472.6478174931,1736.1868719027,2379.8781228045,2861.061464639,3178.6951242307,3412.5586255306,3387.9297071703,3476.8087775744,1655.3308529945,2772.4522011203,3246.6808518049,3393.6672532137,3448.2972493313,3628.8321427544
b0003,483.0550421658,605.6666574296,808.6377696475,1003.8662795248,516.4583669946,554.7553147368,776.6009196503,847.816827485,890.6624105842,295.9107401438,378.7715889719,417.3750421938,531.8596291273,593.6190889208,644.4516813289,670.8395436778,652.018283801,452.1838631882,553.2666580771,657.6211874337,703.7071009351,705.6320209633,758.5278278507
b0004,4480.0565577454,5271.3733133654,6219.871408253,7689.8781914828,4463.8025540106,4856.2547149327,5820.5638918858,6908.6864200458,7523.2888847198,3198.9513587865,3487.4840166159,4028.3053274141,4556.3515695087,4974.289816188,5238.6857655932,5176.7344182933,4681.2549638171,3763.2305908295,4814.7098947253,5182.4492238565,5380.084979522,5407.442318872,5723.2648683368
b0006,177.4009533148,,,,,219.4827637015,,,208.5613940429,162.1210052703,240.8796205082,200.4654693965,,,,,,,180.9051926302,160.2582051393,169.9180226026,,183.9141000883
b0008,15678.3703858761,15830.9044925849,16228.3836222735,16650.6091302358,15145.2688196726,16126.0431162614,16072.6503558217,16283.6874222897,16855.6945987442,13765.0418709063,14355.9309658162,15864.4203962251,16399.3602178334,17757.4437215142,17533.8002150346,17027.3384684774,15791.2755051628,14517.3746180882,16534.8521750236,17354.6287302693,17387.6789530524,17311.7320339427,17102.4643917558
b0009,,,,,95.5617441968,90.2763222361,,,72.7289427567,111.6164646473,,,,94.7390175936,,,,,,58.2868555561,,,
b0014,12514.4650675623,11915.5800771589,11611.9614913853,11793.0833155618,12638.8034621028,12273.7654779301,11865.9301778375,12156.9741295893,12189.8034486142,13364.9110035184,13680.8980062544,14443.1046487428,14996.4163552906,14995.0624530675,14657.2839117309,14624.7741340115,13603.2607436787,13294.367374825,13895.7791442723,15492.5055729103,14920.9559623599,14611.9908828697,13881.1338243733
b0015,528.8076183042,537.247857876,514.770902425,526.887671504,543.5836408741,560.5939961979,557.5725665037,567.9097446306,557.8499453076,548.5066258588,519.9524851272,567.4688929239,560.7961788887,609.73612623,591.8593001135,558.9365207749,500.4076807671,581.1460255586,558.3225393873,621.9054654465,572.0634181397,549.9281248005,531.6721368437
b0023,12378.2656367951,15223.1502005741,18028.9622684521,20864.5529798674,12700.6258892959,13526.4271078952,16281.8618812358,20196.5378817482,21033.5642979351,12883.7021729699,14371.3863087134,17385.8062575537,20106.7034443438,21688.3268528982,25964.4249453458,27047.7206420236,28179.4447828345,13665.5331998187,18338.0796470319,21719.6310558611,23844.5145412745,26345.5924244447,28361.9712823485
b0025,,,,,713.1979516989,,,647.9438078726,649.5567366576,591.8357746831,,,,,,,,,,,,,744.4110373598
b0026,1788.0091104938,1868.4509480762,1762.2184052409,1722.3992688398,1802.4986748029,1894.5511696029,1799.8118833597,1819.7602416516,1773.5784817144,1546.6611149219,1687.0228468079,1671.7722895031,1674.9895050881,1555.1546459101,1432.0460409201,1410.5766289461,1387.5932537694,1597.7543975245,1597.843650065,1586.0354705478,1443.3335651771,1382.4872911373,1388.4662468286
b0028,464.428843571,529.4187113939,529.9645038153,501.6990322677,495.9032064206,462.2030782047,523.5970683251,495.3661854329,462.8144653369,469.0978996579,414.9237096643,506.5759004116,476.4156272551,513.2564183243,494.1479147401,,365.9166903106,425.7941161921,491.356500189,528.1854237872,538.2698111388,563.6042344751,504.0393893811
b0029,154.0065352223,,144.8634741647,129.5470539244,,,,131.4455339532,144.4570828237,,,,,167.2709890139,141.7224470944,,,,,158.7515889616,,154.5990289053,154.8563177238
b0030,,,,,,72.1593909684,,,,56.6222437273,,,,,,,,,,71.7751497624,,26.5827849912,
b0031,573.5646113281,512.8438488789,612.017107266,897.4164927285,488.0892592046,493.1406341962,556.6733476855,732.0547619948,849.996202582,275.6012698765,271.5858804561,282.0855374365,330.9562843766,274.4411733453,316.9291625603,342.9738964072,378.5743359021,386.7031430068,316.1572769967,304.4517377606,323.5631233877,330.0172615242,339.2270508832
b0032,1058.4980934703,1552.6822683993,2058.8620880999,2688.0471529687,1093.1889988783,1302.7925877012,1725.5782969884,2363.0153413917,2668.6965712383,1023.2445593076,1264.0539422438,1517.0887192419,1962.9645663257,2501.9937878082,2829.0913019606,3217.647882729,3753.3957063364,972.2943097862,1685.2953648419,2318.2033312334,2644.3484501088,3002.6320148384,3281.7610406642
b0033,1251.894905478,1707.8381285006,2055.2860240741,2603.4825222328,1274.9415351638,1544.6606383771,1834.4779522989,2344.0762084069,2659.1854077435,1252.1917666454,1550.2824767707,1836.6789740025,2243.1928277791,2739.9944177973,3081.431709209,3233.5521081772,4065.4820541404,1324.481718525,1895.0948909298,2442.450687819,2861.8496868463,3194.144389205,3482.4062848676
b0048,,,,69.238008905,,,,,,,,,,,,,,,45.1773396447,130.0846628052,,,
b0049,,74.9221787564,59.3963276718,,90.3839332456,62.2431650523,,,58.3782038811,,,75.7659784563,,,,,,,73.0970946297,88.1386870697,73.7543557019,67.5299239861,58.3008720678
b0051,141.4333273634,159.2961377709,219.4802539664,213.5049243281,148.4914286884,,167.2711789105,187.3704060345,200.796083572,166.6359122434,,,,,,,,,135.9884743204,175.1537416148,133.6792711864,155.5647968719,164.0667350944
