bnumber,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
C9M2Y6,,,,,,,,,,,,,,,,,,,,,,,4545.22,2240.87,4504.89,2207.24
P03856,,,,,,,,,,,,,,,,,,,,,,,0.01,0.0,2.09,1.39
P06615,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,5.63,6.16
P09129,,,,,,,,,,,,,,,,,,,,,,,0.58,0.01,17.88,20.54
P10026,,,,,,,,,,,,,,,,,,,,,,,0.36,1.07,40.81,27.29
P10030,,,,,,,,,,,,,,,,,,,,,,,15.26,11.08,411.65,327.19
P13959,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,245.75,221.91
P13979,,,,,,,,,,,,,,,,,,,,,,,157.14,100.21,7642.68,6639.03
P18355,,,,,,,,,,,,,,,,,,,,,,,1.39,3.51,116.71,74.01
P22707,,,,,,,,,,,,,,,,,,,,,,,4.46,1.97,35.34,39.66
P62552,,,,,,,,,,,,,,,,,,,,,,,2.91,41.7,676.97,474.87
P62554,,,,,,,,,,,,,,,,,,,,,,,148.38,25.99,552.96,592.51
P62556,,,,,,,,,,,,,,,,,,,,,,,14.16,8.63,295.85,218.58
P62558,,,,,,,,,,,,,,,,,,,,,,,52.43,52.09,829.11,657.3
P96329,,,,,,,,,,,,,,,,,,,,,,,2.34,0.8,19.94,12.77
Q00042,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,4.11,3.81
Q8SU19,,,,,,,,,,,,,,,,,,,,,,,22.06,16.47,26.2,25.69
Q9JMR6,,,,,,,,,,,,,,,,,,,,,,,20.66,14.15,294.15,249.22
Q9JMR7,,,,,,,,,,,,,,,,,,,,,,,3.73,2.21,2.72,1.43
b0002,5703.26,2159.91,1768.82,2108.49,3422.82,5214.63,4679.43,10181.44,7938.23,3275.02,2044.78,1464.44,2570.64,2797.86,6417.27,4512.07,5282.57,9303.32,4388.3,2073.37,3815.48,9641.22,1360.5,4375.28,1260.2,7548.38
b0003,594.09,441.56,298.11,380.35,453.61,689.56,442.2,841.33,326.51,208.44,176.04,151.42,504.5,319.85,1521.42,582.79,834.55,1172.06,231.3,304.92,400.49,712.22,245.92,843.83,197.38,830.73
b0004,14608.55,3501.46,3457.53,5601.08,8867.54,9012.97,11109.15,19636.31,8769.06,5093.63,3423.18,2991.5,4983.7,5352.0,17522.24,7455.43,9543.42,16974.65,9141.97,4675.66,10117.0,14506.56,3759.03,13676.34,1414.12,14285.97
b0006,803.42,1104.88,906.74,431.51,518.94,746.65,599.15,569.89,461.51,365.55,290.14,182.83,107.05,89.06,535.18,673.5,540.61,737.62,650.83,386.84,537.73,835.41,772.14,612.87,767.27,658.98
b0008,10629.04,15810.87,18399.58,6722.07,9688.04,9828.76,11296.6,11221.54,9969.25,6951.91,4878.96,3774.32,6574.62,7623.62,13577.22,19427.5,13207.41,13362.32,9119.23,7721.8,9613.88,12511.56,12774.83,9247.45,10560.75,7508.22
b0009,47.19,181.21,130.38,48.15,68.03,63.81,43.62,48.43,33.77,26.94,24.51,20.46,11.41,5.13,10.17,13.11,12.85,7.25,22.63,13.35,17.97,18.67,386.24,154.73,397.33,193.5
b0014,18605.3,59770.33,38605.66,14174.33,16848.52,17438.37,17699.21,13238.7,15492.18,13263.55,10500.52,9605.96,34071.65,33716.14,20710.34,44984.89,34136.59,18456.85,18096.79,11030.33,19666.21,18740.38,42935.75,18132.7,35698.54,23223.54
b0015,688.4,2010.53,1493.3,494.17,756.45,720.17,741.53,588.97,666.94,581.67,450.83,366.22,650.94,475.02,663.77,1798.1,841.66,773.24,588.67,425.5,597.58,605.17,1461.12,748.3,1508.92,1038.79
b0023,28842.62,74646.08,44450.95,10865.72,18262.48,19944.94,21077.02,15928.72,19043.99,12091.67,9291.31,8041.77,8935.45,8750.99,26898.02,30295.02,25222.32,22164.04,17347.71,11077.27,18125.99,26995.48,57237.38,31221.87,78403.63,44365.77
b0025,159.97,214.34,173.82,99.69,130.53,146.23,154.25,140.97,180.43,113.54,127.28,88.03,72.23,80.64,105.58,178.36,150.64,149.49,112.63,114.47,115.93,169.87,117.39,92.52,145.72,120.04
b0026,2166.22,2886.34,2349.75,1348.09,1657.13,1621.28,1814.07,1920.7,1646.9,1363.12,1073.81,883.7,927.02,959.4,2086.15,2949.58,2024.06,2453.64,1625.26,1356.72,1568.6,2021.45,2408.02,1979.5,2664.07,2239.66
b0028,1254.9,2785.0,2677.73,1531.29,1527.21,1411.44,1354.24,1175.33,1022.16,928.36,859.33,560.27,229.19,233.59,1161.86,1197.79,953.29,1096.04,1932.01,1241.09,1215.26,1749.38,748.91,456.97,763.0,445.57
