bnumber,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b0002,1283.92,1682.15,2003.18,3023.58,3016.75
b0003,153.60,200.23,239.37,380.01,389.07
b0004,3232.54,4049.70,3877.28,4934.60,5554.55
b0005,,,,,
b0006,58.55,72.61,84.15,86.51,98.74
b0007,,,,,
b0008,6274.28,7069.10,7157.77,7460.43,7615.78
b0009,193.55,170.53,166.25,129.76,120.33
b0010,,,,,
b0011,,,,,
b0013,,,,,
b0014,8084.44,7122.46,6975.59,6736.46,6760.19
b0015,476.65,493.97,487.72,411.25,368.96
b0018,,,,,
b0019,,,,,
b0020,,,,,
b0023,11040.77,12129.31,12714.71,15159.09,17037.64
b0024,,,,,
b0025,,,,,
b0026,1498.83,1641.44,1572.23,1465.79,1336.90
b0027,,,,,
b0028,929.88,1411.51,1493.40,1345.64,1253.82
b0029,172.89,192.53,192.80,188.80,185.66
b0030,250.03,260.74,187.49,99.89,33.70
b0031,593.06,672.20,659.28,642.96,1095.66
b0032,971.90,1113.37,1490.13,2597.92,2259.31
b0033,876.84,1194.78,1460.72,1899.01,2072.46
b0034,,,,,
b0035,,,,,
b0036,,,,,
b0037,,,,,
b0038,,,,,
b0039,,,,,
b0040,,,,,
b0041,,,,,
b0042,,,,,
b0043,,,,,
b0044,,,,,
b0045,,,,,
b0046,,,,,
b0047,,,,,
b0048,396.06,424.66,315.35,270.50,240.95
b0049,95.05,91.31,80.88,70.71,70.07
b0050,,,,,
b0051,239.70,232.68,235.28,218.32,323.73
b0052,,,,,
b0053,2014.05,1791.62,1524.44,1359.37,1437.12
b0054,78.52,66.01,62.09,54.24,31.93
b0055,,,,,
b0058,,,,,
b0059,93.68,81.96,98.03,97.83,110.57
b0060,,,,,
b0061,,,,,
b0062,88.17,,,,
b0063,,,,,
b0065,,,,,
b0066,,,,,
b0067,,,,,
b0068,635.76,701.35,816.55,881.19,1017.31
b0069,,,,,
b0070,,,,,
b0071,7492.76,10272.23,8116.88,6965.76,6690.71
b0072,4506.82,5488.72,4818.41,3811.40,3412.91
b0073,3975.75,5571.78,4818.82,3498.33,3246.46
b0074,5036.50,6044.30,4497.35,3296.83,2572.99
b0075,,,,,
b0076,,,,,
b0077,792.81,941.74,781.83,708.87,741.18
b0078,1031.82,951.09,948.08,850.64,996.61
b0080,413.28,428.51,329.64,232.74,176.50
b0081,,,,,
b0082,202.51,240.94,161.76,156.53,172.06
b0083,,,,,
b0084,,,,,
b0085,90.92,150.72,109.47,118.09,143.68
b0086,129.49,122.12,123.36,144.86,154.92
b0087,,,,,
b0088,96.43,86.91,73.53,98.86,78.05
b0089,,,,,
b0090,,,,,
b0091,102.63,109.47,122.14,127.70,143.68
b0092,101.94,106.72,102.94,105.73,123.87
b0093,,,,,
b0094,370.57,386.71,408.48,307.23,337.62
b0095,2448.68,2367.00,2217.22,2093.64,2128.04
b0096,,,,,
b0097,,,,,
b0098,740.46,744.26,685.43,619.27,640.07
b0099,,,,,
b0101,,,,,
b0102,178.40,177.68,145.42,142.80,155.21
b0103,,,,,
b0104,281.03,295.94,429.72,678.66,548.12
b0106,,,,,
b0107,,,,,
b0108,,,,,
b0109,396.75,400.46,356.19,304.14,317.52
b0110,,,,,
b0111,,,,,
b0112,386.42,470.87,531.02,453.12,406.21
b0113,114.34,110.02,141.33,146.24,181.53
b0114,5859.62,6655.44,6011.99,5862.13,5980.28
b0115,3521.14,3462.77,3377.71,3139.95,3830.36
b0116,7542.36,11129.26,12025.61,10718.12,9553.43
b0117,,,,,
b0118,9052.90,11847.67,9313.72,6242.48,4639.83
b0119,,,,,
b0120,,,,,
b0121,318.23,402.66,410.11,611.72,426.32
b0122,,,,,
b0123,511.78,451.07,566.15,582.20,546.94
b0124,197.00,140.82,152.36,170.27,256.03
b0125,697.75,832.82,769.17,850.64,1055.15
b0126,2760.02,2945.14,2574.23,2812.81,2695.09
b0127,272.76,267.34,245.90,201.50,207.54
b0128,,,,,
b0129,,,,,
b0130,,,,,
b0131,,,,,
b0132,,,,,
b0133,1139.27,1046.26,916.22,813.22,852.34
b0134,2952.88,2741.61,2178.42,2164.01,2016.88
b0135,,,,,
b0136,,,,,
b0137,,,,,
b0138,,,,,
b0139,,,,,
b0140,,,,,
b0141,,,,,
b0142,,,,,
b0143,,,,,
b0144,,,,,
b0145,3678.88,4147.07,4484.28,4309.15,3712.10
b0146,,,,,
b0147,,,,,
b0148,,,,,
b0149,287.23,284.94,233.24,204.59,179.75
b0150,,,,,
b0151,,,,,
b0152,,,,,
b0153,,,,,
b0154,1181.29,1261.89,1372.49,1398.16,1534.69
b0155,,,,,
b0156,887.86,1055.61,1103.30,1192.20,1393.96
b0157,,,,,
b0158,,,,,
b0159,545.53,585.29,622.11,612.41,732.60
b0160,,,,,
b0161,1903.84,2099.66,1576.32,1285.23,1273.04
b0162,,,,,
b0163,4539.19,3759.26,2836.88,2126.60,1861.67
b0164,,,,,
b0166,2359.14,3312.59,3519.45,3913.01,4541.09
b0167,21.35,20.90,17.97,14.76,13.01
b0168,849.98,964.29,1057.55,1052.83,1303.79
b0169,11828.76,12097.96,15330.61,15064.34,17586.66
b0170,8329.66,8671.49,9890.08,11108.77,12840.69
b0171,474.58,970.34,997.50,801.89,1173.71
b0172,4169.30,3941.34,3747.79,3721.12,4190.75
b0173,,,,,
b0174,,,,,
b0175,,,,,
b0176,,,,,
b0177,491.80,501.67,479.15,406.10,423.95
b0178,8055.51,8122.51,7104.67,6684.62,7467.66
b0179,1102.77,1004.45,932.97,861.62,742.66
b0180,1988.56,2685.50,3115.06,3448.21,4052.98
b0181,1062.82,1025.90,857.40,855.44,588.92
b0182,675.02,,451.78,359.07,311.02
b0183,,,,,
b0184,,,,,
b0185,2099.46,2093.06,1760.13,1637.09,1812.89
b0186,,,,,
b0187,317.54,233.23,223.85,210.09,234.15
b0188,,,,,
b0189,746.66,736.01,787.55,743.54,822.48
b0190,,,,,
b0191,,,,,
b0192,,,,,
b0193,,,,,
b0194,2297.84,2585.94,2751.51,2787.40,2985.41
b0195,,,,,
b0196,,,,,
b0197,9284.33,10533.52,10923.54,11048.01,8783.28
b0198,,,,,
b0199,304.45,326.75,427.27,452.10,489.59
b0200,,,,,
b0201,,,,,
b0204,,,,,
b0207,427.74,587.49,384.79,174.73,130.97
b0208,38.57,31.35,25.33,18.54,19.81
b0209,,,,,
b0210,,,,,
b0211,,,,,
b0212,648.16,568.78,380.70,375.20,262.53
b0213,,,,,
b0214,,,,,
b0215,,,,,
b0217,,,,,
b0218,,,,,
b0219,,,,,
b0220,1618.68,1645.85,1452.55,1047.68,1200.61
b0221,278.96,295.94,214.45,128.73,56.47
b0222,2741.42,2733.91,2213.95,1929.90,1661.81
b0223,,,,,
b0224,,,,,
b0225,,,,,
b0226,,,,,
b0227,,,,,
b0228,,,,,
b0229,,,,,
b0230,,,,,
b0231,,,,,
b0232,,,,,
b0233,,,,,
b0234,,,,,
b0235,,,,,
b0236,,,,,
b0237,2374.29,2618.94,2613.85,2197.66,2025.45
b0238,1177.16,1703.60,1140.47,1752.08,1112.21
b0239,127.43,101.22,95.18,86.51,83.67
b0240,613.03,916.44,1389.64,1275.62,1501.28
b0241,,,,,
b0242,373.33,414.21,380.29,333.32,326.39
b0243,745.97,828.97,642.13,518.35,431.34
b0244,,,,,
b0245,,,,,
b0246,,,,,
b0247,,,,,
b0248,,,,,
b0249,,,,,
b0250,,,,,
b0251,,,,,
b0252,,,,,
b0253,,,,,
b0254,,,,,
b0256,319.60,,,,
b0258,,,,,
b0260,,,,,
b0261,79.90,77.01,57.19,,43.76
b0262,,,,,
b0263,,,,,
b0266,,,,,
b0267,,,,,
b0268,,,,,
b0269,,,,,
b0270,,,,,
b0271,,,,,
b0272,,,,,
b0273,,,,,
b0276,,,,,
b0277,,,,,
b0278,,,,,
b0279,,,,,
b0280,,,,,
b0281,,,,,
b0283,,,,,
b0284,,,,,
b0285,,,,,
b0286,,,,,
b0287,,,,,
b0288,,,,,
b0289,,,,,
b0290,,,,,
b0291,,,,,
b0292,,,,,
b0293,,,,,
b0294,,,,,
b0295,,,,,
b0296,,,,,
b0297,,,,,
b0300,,,,,
b0301,,,,,
b0303,,,,,
b0304,,,,,
b0305,,,,,
b0306,,,,,
b0307,,,,,
b0308,,,,,
b0310,,,,,
b0311,,,,,
b0312,,,,,
b0313,,,,,
b0314,,,,,
b0315,,,,,
b0316,,,,,
b0317,,,,,
b0318,,,,,
b0319,,,,,
b0320,,,,,
b0321,,,,,
b0323,,,,,
b0324,,,,,
b0325,7218.62,4104.16,2593.84,1748.31,1311.77
b0326,,,,,
b0327,,,,,
b0328,,,,,
b0329,20606.82,9146.76,10175.61,8421.94,2329.08
b0330,,,,,
b0331,561.37,,,,
b0333,410.52,,,,
b0334,772.14,,,,
b0335,,,,,
b0336,,,,,
b0337,648.16,1076.51,1579.59,2113.55,1667.43
b0338,,,,,
b0339,,,,,
b0340,,,,,
b0341,,,,,
b0346,48.22,62.71,36.76,16.48,8.87
b0347,,,,,
b0348,,,,,
b0349,,,,,
b0350,,,,,
b0351,,,,,
b0352,,,,,
b0353,,,,,
b0354,228.68,222.23,226.30,241.67,234.15
b0355,,,,,
b0356,672.27,683.75,539.19,465.48,444.06
b0357,174.96,173.83,182.59,156.53,180.64
b0358,,,,,
b0363,,,,,
b0364,,,,,
b0365,,,,,
b0366,,,,,
b0367,,,,,
b0368,,,,,
b0369,1263.26,1547.93,1260.57,854.76,1571.94
b0375,,,,,
b0376,,,,,
b0377,,,,,
b0378,,,,,
b0379,,,,,
b0380,,,,,
b0381,513.84,18.70,26.14,939.55,37.84
b0382,2291.64,2011.10,1789.14,1411.55,
b0383,,,,,
b0384,274.83,,,,
b0385,,,,,
b0386,1241.91,969.79,714.43,637.12,608.73
b0387,,,,,
b0388,252.10,304.20,325.97,273.59,238.29
b0389,1320.43,,,,679.98
b0390,438.77,336.65,,164.09,
b0391,1298.39,,,,
b0392,,,,,
b0393,393.99,394.41,376.62,317.53,373.40
b0394,467.70,363.05,283.08,211.46,150.48
b0396,,,,,
b0397,,,,,
b0398,,,,,
b0399,100.56,,,,
b0400,,,,,
