upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P0A8T7,4695.72,2270.37,8917.80,5878.96
P0A8V2,5649.04,2848.95,9257.92,6028.69
P36683,17855.46,9625.64,14290.02,10998.65
P15254,414.36,2422.46,338.62,3523.27
P09831,272.00,1815.06,254.29,3561.65
P00968,240.62,4413.61,405.20,3530.90
P25665,749.35,37939.37,772.33,64047.37
P0A6F5,55698.17,22304.79,44647.07,30082.68
P0A6Y8,42935.75,18132.70,35698.54,23223.54
P0A705,3236.16,1544.64,5354.90,3033.75
P0CE47,417978.42,279772.59,459427.44,317873.61
P0AFG8,10368.55,4470.05,14606.90,7319.11
P0A6M8,66828.09,40158.65,100428.39,51744.41
P00957,3255.40,2167.35,4419.88,3817.31
P00864,625.88,2042.39,617.41,3065.54
P00961,5562.27,3030.03,5700.61,3635.75
P07118,2380.60,1599.04,2863.53,2023.01
P63284,3400.42,1610.77,2383.49,1657.63
P0AG67,46363.94,24938.17,67350.26,37811.58
P0A853,138624.68,808.28,1090.56,1058.44
P05793,1147.69,34730.06,1726.70,18154.28
P06959,20444.34,8786.85,22229.24,10909.67
P00956,2408.02,1979.50,2664.07,2239.66
P10408,1249.89,547.32,1665.21,1071.97
P0ABB4,36068.22,21539.32,45796.76,30159.72
P07813,1779.61,1429.13,2282.62,1799.07
P0AFG3,3355.44,1355.75,5610.89,3757.79
P00561,1360.50,4375.28,1260.20,7548.38
P0A850,51695.46,25146.88,54659.01,30830.66
P0A9Q7,3259.20,2852.66,3164.23,3498.96
P21889,3220.86,2068.83,4067.61,3388.23
P0A940,2803.68,1957.30,2609.62,2333.62
P0AC33,7929.61,1405.71,3657.18,2345.37
P0A6F3,32476.50,5103.84,7654.61,760.80
P13035,11178.36,5825.89,4164.81,304.20
P09546,389.99,47.69,233.23,86.42
P05055,4619.04,2207.92,6111.31,4317.01
P39180,4506.18,5179.73,167.29,239.46
P0A9M0,2400.65,1060.68,2676.74,2039.42
P21513,1150.02,596.62,1875.50,1255.89
P0AES4,1286.72,517.50,1559.65,1145.75
P0A6Z3,7809.93,2615.45,6358.85,2996.50
P08839,5143.27,10437.73,4867.04,11598.55
P23847,1725.79,6850.57,275.85,7808.91
P09373,5231.23,3432.23,4650.15,5154.72
P0AC41,6616.82,1770.20,6224.76,3399.29
P13029,1917.03,1467.71,1462.78,1753.55
P0AES6,1534.61,750.07,1780.24,1204.32
P13009,150.58,303.66,148.39,518.93
P76558,1376.53,277.49,875.98,513.07
P0A6E4,694.10,8158.01,557.99,8992.93
P07395,3175.56,1997.52,3908.89,3396.23
P16659,4947.62,3901.79,5034.35,4482.34
P25553,13414.32,2350.40,4934.86,5203.54
P0A9W3,3228.06,2188.77,4375.62,3159.02
P08200,21529.96,37682.16,21831.08,42776.33
P0A799,41675.04,30363.43,32917.93,29970.65
P0A6P1,42439.86,19987.31,54436.09,24930.48
P04825,1958.99,933.10,1558.34,1077.00
P0AD61,8347.01,7935.85,7729.64,7180.68
P0AFF6,8650.14,5037.03,11190.54,6910.67
P00370,689.76,6031.75,781.21,8035.64
P0AG30,4695.66,3107.66,5518.84,3721.94
P00959,2272.33,2151.92,2691.20,2614.07
P0AAI3,2504.72,1758.28,3267.93,2250.69
P07017,5232.96,3793.40,4587.61,4321.21
P0A817,5527.56,10758.33,9937.12,17085.54
P0A9A6,7772.65,6072.78,8258.12,8374.27
P23843,2665.06,20761.12,1082.96,2436.56
P0A6T1,4348.42,3224.60,3575.99,3007.25
P17846,222.01,2766.85,190.14,4267.50
P15639,347.04,2349.00,299.08,2461.04
P0ADY1,1585.24,891.68,2167.60,1531.59
P0A9M8,2720.55,1053.76,4666.33,1891.20
P02942,9736.41,3940.96,11569.49,6747.22
P22523,252.72,95.61,367.44,259.49
P0A825,9305.83,21854.32,6629.28,17951.72
P00350,15285.13,12627.53,8285.61,6773.25
P0ABB0,19987.60,13132.76,25346.46,16225.41
P04079,3665.20,4160.19,3364.63,3478.39
P30850,1071.20,1262.71,1427.88,1639.19
P00582,622.89,327.00,752.81,433.61
P0A910,119116.61,108747.03,100200.09,55085.29
P0A9C5,5592.13,17062.28,5104.05,23013.63
P38038,147.72,2697.62,161.87,3995.37
P0A7E5,1824.48,1175.13,3028.32,1464.38
P27298,1808.52,1113.85,2071.85,1541.74
P05791,178.32,902.31,683.98,6044.71
P33599,2452.28,925.19,3635.58,1402.09
P0A8M3,1255.63,812.23,1838.35,1251.28
P26616,1000.32,489.85,963.28,511.05
P00452,950.29,414.39,1338.99,807.89
P0A9B2,46841.52,43004.95,37552.80,44045.36
P0A7Z4,26710.33,16895.68,29905.94,23003.72
P60422,29298.20,12263.63,51838.10,23936.29
P0A9P0,23261.82,12054.72,31709.35,15126.14
P0ABH7,13799.53,7820.91,11037.90,18265.83
P17169,4471.25,4042.33,4371.34,4281.42
P0A8N3,3789.94,2272.21,4051.19,2882.11
P33602,2849.06,1089.59,3746.23,1307.80
P23538,2106.01,837.22,2259.23,2236.35
P0ABH9,564.86,382.64,615.99,441.52
P06612,602.07,245.51,682.00,390.61
P32176,1566.63,126.13,1976.93,141.75
P61889,86227.97,45044.31,34219.21,50317.87
P0AD96,567.73,25126.45,493.14,16447.86
P00509,3585.72,7537.61,4300.02,9499.81
P0A7D4,9528.83,6846.75,9909.53,6766.36
P0A8M0,5293.90,4726.30,5701.22,5938.37
P32132,3319.01,2934.83,4677.83,3819.44
P0AB89,935.36,1802.44,1245.79,2471.23
P35340,3624.36,1871.64,3322.83,2138.17
P24182,4822.90,2214.87,6113.95,2990.45
P00962,1405.43,1309.29,1545.48,1456.74
P11875,1011.75,770.96,1509.57,982.13
P0A9P6,1162.84,421.95,2707.81,874.27
P17315,141.30,489.74,196.14,789.12
P04949,82244.54,34899.63,52509.61,29095.20
P33195,1533.84,272.76,742.16,555.00
P0A953,8671.83,4556.85,9826.21,5522.94
P0A6B7,13975.28,10684.04,14012.32,15282.24
P0A836,18968.65,7068.41,16638.88,13276.62
P27302,5321.00,3633.46,6502.52,4998.19
P08997,1150.76,2741.42,363.82,322.49
P0A8L1,5192.44,2366.95,5710.11,3317.64
P09151,88.70,1314.92,101.50,2035.25
P0AEE5,18836.24,939.56,6883.49,1786.21
P0AGD7,1348.50,816.16,1616.90,1068.83
P06971,317.72,785.25,713.99,1236.32
P31554,646.73,456.34,679.73,468.55
P38054,61.82,202.13,56.72,915.19
P60240,310.09,77.22,388.97,95.43
