KEGG ID	Gene name	Definition
b0002	thra, eck0002, hs, jw0001, thra1, thra2, thrd	fused aspartokinase i and homoserine dehydrogenase i (ec:2,7,2,4
b0003	thrb, eck0003, jw0002	homoserine kinase (ec:2,7,1,39)
b0004	thrc, eck0004, jw0003	threonine synthase (ec:4,2,3,1)
b0005	yaax, eck0005, jw0004	predicted protein
b0006	yaaa, eck0006, jw0005	conserved protein
b0007	yaaj, eck0007, jw0006	predicted transporter
b0008	talb, eck0008, jw0007, yaak	transaldolase b (ec:2,2,1,2)
b0009	mog, bisd, chlg, eck0009, jw0008, moga, yaag	predicted molybdochelatase
b0010	yaah, eck0010, jw0009	conserved inner membrane protein associated with acetate transport
b0011	yaaw, eck0011, htga, htpy, jw0010	conserved protein
b0013	yaai, eck0013, jw0012	predicted protein
b0014	dnak, eck0014, gropab, gropc, gropf, grpc, grpf, jw0013, seg	chaperone hsp70, co-chaperone with dnaj
b0015	dnaj, eck0015, grop, grpc, jw0014	chaperone hsp40, co-chaperone with dnak
b0018	mokc, eck4466, gefl	regulatory protein for hokc, overlaps cds of hokc
b0019	nhaa, ant, anta, eck0020, jw0018	sodium-proton antiporter
b0020	nhar, anto, eck0021, jw0019, yaab	dna-binding transcriptional activator
b0023	rpst, eck0024, jw0022, sup	30s ribosomal subunit protein s20
b0024	yaay, eck0025, jw5003	predicted protein
b0025	ribf, eck0026, jw0023, yaac	bifunctional riboflavin kinase/fad synthetase (ec:2,7,1,26 2,7,7,2)
b0026	iles, eck0027, ilvs, jw0024	isoleucyl-trna synthetase (ec:6,1,1,5)
b0027	lspa, eck0028, jw0025	prolipoprotein signal peptidase (signal peptidase ii) (ec:3,4,23,36)
b0028	fkpb, eck0029, jw0026, slpa, yaad	fkbp-type peptidyl-prolyl cis-trans isomerase (rotamase)
b0029	isph, eck0030, jw0027, lytb, yaae	1-hydroxy-2-methyl-2-(e)-butenyl 4-diphosphate reductase, 4fe-4s
b0030	rihc, eck0031, jw0028, yaaf	ribonucleoside hydrolase 3 (ec:3,2,2,-)
b0031	dapb, eck0032, jw0029	dihydrodipicolinate reductase (ec:1,3,1,26)
b0032	cara, arg, cap, eck0033, jw0030, pyra	carbamoyl phosphate synthetase small subunit, glutamine
b0033	carb, cap, eck0034, jw0031, pyra	carbamoyl-phosphate synthase large subunit (ec:6,3,5,5)
b0034	caif, eck0035, jw0033	dna-binding transcriptional activator
b0035	caie, eck0036, jw5004	predicted acyl transferase
b0036	caid, eck0037, jw0035, yaal	crotonobetainyl coa hydratase (ec:4,2,1,-)
b0037	caic, eck0038, jw0036, yaam	predicted crotonobetaine coa ligase:carnitine coa ligase
b0038	caib, eck0039, jw0037, yaan	crotonobetainyl coa:carnitine coa transferase (ec:2,8,3,-)
b0039	caia, eck0040, jw0038, yaao	crotonobetaine reductase subunit ii, fad-binding (ec:1,3,99,-)
b0040	cait, eck0041, jw0039, yaap	predicted transporter
b0041	fixa, eck0042, jw0040, yaaq	predicted electron transfer flavoprotein subunit, etfp adenine
b0042	fixb, eck0043, jw0041, yaar	predicted electron transfer flavoprotein, nad/fad-binding domain and
b0043	fixc, eck0044, jw0042, yaas	predicted oxidoreductase with fad/nad(p)-binding domain
b0044	fixx, eck0045, jw0043, yaat	predicted 4fe-4s ferredoxin-type protein
b0045	yaau, eck0046, jw0044, yabe	predicted transporter
b0046	keff, eck0047, jw0045, yabf	flavoprotein subunit for the kefc potassium efflux system
b0047	kefc, eck0048, jw0046, trkc	potassium:proton antiporter
b0048	fola, eck0049, jw0047, tmra	dihydrofolate reductase (ec:1,5,1,3)
b0049	apah, cfcb, eck0050, jw0048	diadenosine tetraphosphatase (ec:3,6,1,41)
b0050	apag, cord, eck0051, jw0049, temp	protein associated with co2+ and mg2+ efflux
b0051	rsma, eck0052, jw0050, ksga	s-adenosylmethionine-6-n',n'-adenosyl (rrna) dimethyltransferase
b0052	pdxa, eck0053, jw0051	4-hydroxy-l-threonine phosphate dehydrogenase, nad-dependent
b0053	sura, eck0054, jw0052	peptidyl-prolyl cis-trans isomerase (ppiase) (ec:5,2,1,8)
b0054	lptd, eck0055, imp, jw0053, osta, yabg	exported protein required for envelope biosynthesis and integrity
b0055	djla, eck0056, jw0054, yabh	dnaj-like protein, membrane anchored
