Uniprot Accession	Description	Gene	Peptides.used.for.quantitation	Confidence.score	Molecular weight (Da)	Dataset	Bnumber	Annotated functional COG groups (letter)	Annotated functional COG group (description)	Annotated functional COG class
P0A8T7	DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1	rpoC	91	6045.53	155045.008	2	b3988	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A8V2	DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1	rpoB	89	5061.29	150520.2758	2	b3987	K	Transcription	INFORMATION STORAGE AND PROCESSING
P36683	Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3	acnB	67	4505.67	93420.9457	2	b0118	C	Energy production and conversion	METABOLISM
P15254	Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3	purL	65	4277.71	141295.8984	2	b2557	F	Nucleotide transport and metabolism	METABOLISM
P09831	Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3	gltB	64	4111.74	163176.3153	2	b3212	E	Amino acid transport and metabolism	METABOLISM
P0AFG8	Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2	aceE	59	3547.25	99587.94042	2	b0114	C	Energy production and conversion	METABOLISM
P0A9Q7	Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2	adhE	58	4443.68	96048.64958	2	b1241	C	Energy production and conversion	METABOLISM
P0CE47	Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1	tufA	57	4565.07	43238.30279	2	b3339	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25665	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6	metE	56	4067.16	84602.80905	2	b3829	E	Amino acid transport and metabolism	METABOLISM
P0A6F5	60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2	groL	55	3795.21	57274.67483	2	b4143	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P00968	Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2	carB	55	3752.55	117749.3328	2	b0033	EF	Amino acid transport and metabolism	METABOLISM
P09373	Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2	pflB	54	3972.86	85284.7241	2	b0903	C	Energy production and conversion	METABOLISM
P0A6Y8	Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2	dnaK	53	4447.08	69054.47444	2	b0014	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A705	Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1	infB	52	3380.67	79678.11829	2	b3168	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P05793	Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4	ilvC	52	2706.42	54016.26705	2	b3774	EH	Amino acid transport and metabolism	METABOLISM
P00864	Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1	ppc	50	3589.35	98982.23464	2	b3956	C	Energy production and conversion	METABOLISM
P00957	Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2	alaS	49	3631.87	95954.64438	2	b2697	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6M8	Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2	fusA	49	4276.28	77514.47523	2	b3340	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00961	Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4	glyS	47	3352.04	76746.96578	2	b3559	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P76558	NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1	maeB	46	2485.6	82346.78295	2	b2463	C	Energy production and conversion	METABOLISM
P0AG67	30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1	rpsA	44	2834	61102.7043	2	b0911	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07813	Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2	leuS	43	2357.38	97153.28428	2	b0642	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00561	Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2	thrA	42	3126.22	89045.79557	2	b0002	E	Amino acid transport and metabolism	METABOLISM
P0AFG3	2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1	sucA	42	2817.04	104977.5259	2	b0726	C	Energy production and conversion	METABOLISM
P00956	Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5	ileS	41	2164.51	104212.5396	2	b0026	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P25553	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	aldA	41	2623.32	52221.71682	2	b1415	C	Energy production and conversion	METABOLISM
P10408	Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2	secA	40	2576.06	101940.9335	2	b0098	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P21889	Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1	aspS	40	2303.66	65853.62132	2	b1866	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07395	Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2	pheT	40	2768.54	87305.38731	2	b1713	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P07118	Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2	valS	40	2513.25	108105.6884	2	b4258	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P23847	Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1	dppA	40	2246.78	60237.23952	2	b3544	E	Amino acid transport and metabolism	METABOLISM
